Ref,Val,Package,PosX,PosY,Rot,Side
"LD1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",94.592600,-48.539600,90.000000,top
"LD2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.592600,-48.539600,90.000000,top
"LD3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",110.592600,-48.539600,90.000000,top
