Ref,Val,Package,PosX,PosY,Rot,Side
"LD1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-25.000000,-4.000000,90.000000,top
"LD2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-33.000000,-4.000000,90.000000,top
"LD3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-41.000000,-4.000000,90.000000,top
